matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300303,The Sapphire Flame,Wraith,Haze,Mo & Krill,McGinnis,Paradox,Viscous,Abrams,Kelvin,Infernus,Vindicta,Dynamo,Seven
6300304,The Sapphire Flame,Paradox,Haze,Warden,Infernus,Grey Talon,Shiv,Dynamo,Seven,Yamato,Wraith,Mo & Krill,Pocket
6300305,The Sapphire Flame,Shiv,McGinnis,Grey Talon,Haze,Lady Geist,Ivy,Wraith,Bebop,Kelvin,Warden,Infernus,Seven
6300308,The Sapphire Flame,Warden,Lady Geist,Grey Talon,McGinnis,Vindicta,Pocket,Abrams,Wraith,Ivy,Kelvin,Infernus,Haze
6300309,The Amber Hand,Pocket,Haze,Mo & Krill,Bebop,Abrams,Yamato,McGinnis,Kelvin,Wraith,Vindicta,Ivy,Infernus
6300310,The Sapphire Flame,Vindicta,Abrams,Infernus,McGinnis,Kelvin,Warden,Bebop,Viscous,Wraith,Seven,Haze,Shiv
6300311,The Amber Hand,Infernus,Haze,Ivy,McGinnis,Grey Talon,Dynamo,Bebop,Viscous,Seven,Abrams,Wraith,Vindicta
6300312,The Amber Hand,Abrams,Infernus,Mo & Krill,Vindicta,Pocket,McGinnis,Lady Geist,Haze,Bebop,Paradox,Wraith,Seven
6300313,The Amber Hand,Infernus,Mo & Krill,Yamato,Lash,Seven,Dynamo,Vindicta,Grey Talon,Bebop,Wraith,Lady Geist,McGinnis
6300314,The Sapphire Flame,Seven,Lady Geist,Dynamo,Haze,Abrams,Infernus,Grey Talon,Bebop,Wraith,Paradox,Ivy,Vindicta
6300315,The Amber Hand,Bebop,Abrams,Kelvin,Lady Geist,Warden,Shiv,Vindicta,Infernus,McGinnis,Haze,Dynamo,Yamato
6300316,The Sapphire Flame,Bebop,Kelvin,Lash,Vindicta,Seven,Viscous,Infernus,Pocket,Dynamo,McGinnis,Shiv,Grey Talon
